Entry,Valence,Arousal,Dominance
"I sat by the window today, watching the rain fall gently on the leaves. It wasn’t much, but it was something.",0.43,-0.54,0.31
"I made a home-cooked meal for the first time in months. It wasn’t perfect, but it felt good. There's a heaviness I can't explain.",0.14,-0.47,-0.64
"I smiled when I saw the old couple holding hands at the park. It wasn’t much, but it was something.",0.54,-0.11,-0.41
I found a note I wrote to myself years ago. It made me laugh and cry. It made me feel grounded.,0.56,-0.4,0.07
"Had coffee with someone I thought I lost forever. We didn’t say much, but it meant everything. I felt a sense of calm wash over me.",0.53,-0.39,0.96
I had a long talk with my best friend and it reminded me how lucky I am to have her. I felt a sense of calm wash over me.,0.55,-0.12,0.46
"Had coffee with someone I thought I lost forever. We didn’t say much, but it meant everything. It's hard to tell if this peace will last.",0.58,-0.21,-0.03
"I made a home-cooked meal for the first time in months. It wasn’t perfect, but it felt good. It wasn’t much, but it was something.",0.43,-0.12,-0.4
I found a note I wrote to myself years ago. It made me laugh and cry. I needed that more than I thought.,0.09,-0.32,0.87
"I made a home-cooked meal for the first time in months. It wasn’t perfect, but it felt good. There's a heaviness I can't explain.",0.39,-0.05,-0.31
"Had coffee with someone I thought I lost forever. We didn’t say much, but it meant everything. It felt like a quiet kind of joy.",0.05,-0.59,-0.81
I finally finished the book I’ve been reading for weeks. It left me in tears. I'm holding onto this softness for now.,0.54,-0.25,-0.38
"Had coffee with someone I thought I lost forever. We didn’t say much, but it meant everything. A rare moment of clarity, maybe.",0.28,-0.04,0.41
I had a long talk with my best friend and it reminded me how lucky I am to have her. It felt like a quiet kind of joy.,0.16,-0.49,-0.75
I finally finished the book I’ve been reading for weeks. It left me in tears. I'm holding onto this softness for now.,0.31,-0.48,-0.21
I finally finished the book I’ve been reading for weeks. It left me in tears. I needed that more than I thought.,0.5,-0.02,-0.16
I had a long talk with my best friend and it reminded me how lucky I am to have her. It's hard to tell if this peace will last.,0.32,-0.27,0.42
"Had coffee with someone I thought I lost forever. We didn’t say much, but it meant everything. It's hard to tell if this peace will last.",0.54,-0.28,-0.86
"I made a home-cooked meal for the first time in months. It wasn’t perfect, but it felt good. It wasn’t much, but it was something.",0.56,-0.43,0.9
Took a walk alone at dusk and everything felt a little quieter than usual. Everything was still and slow.,0.29,-0.59,-0.12
I had a long talk with my best friend and it reminded me how lucky I am to have her. I needed that more than I thought.,0.34,-0.27,-0.44
"I sat by the window today, watching the rain fall gently on the leaves. It's hard to tell if this peace will last.",0.26,-0.35,0.96
My cat curled up beside me on the couch today. I didn’t move for hours. I felt a sense of calm wash over me.,0.6,-0.52,0.3
I finally finished the book I’ve been reading for weeks. It left me in tears. Everything was still and slow.,0.28,-0.14,0.09
Took a walk alone at dusk and everything felt a little quieter than usual. It felt like a quiet kind of joy.,0.13,-0.1,-0.23
"Had coffee with someone I thought I lost forever. We didn’t say much, but it meant everything. I felt a sense of calm wash over me.",0.19,-0.37,-0.12
"I let myself nap in the afternoon sun. Just for a moment, everything felt right. I felt a sense of calm wash over me.",0.42,-0.43,0.1
I had a long talk with my best friend and it reminded me how lucky I am to have her. There's a heaviness I can't explain.,0.17,-0.29,0.65
"Had coffee with someone I thought I lost forever. We didn’t say much, but it meant everything. It's hard to tell if this peace will last.",0.55,-0.47,0.27
"I sat by the window today, watching the rain fall gently on the leaves. It's hard to tell if this peace will last.",0.46,-0.4,0.6
"Had coffee with someone I thought I lost forever. We didn’t say much, but it meant everything. There's a heaviness I can't explain.",0.46,-0.22,1.04
"I let myself nap in the afternoon sun. Just for a moment, everything felt right. I needed that more than I thought.",0.07,-0.54,-0.26
My cat curled up beside me on the couch today. I didn’t move for hours. It's hard to tell if this peace will last.,0.08,-0.05,-0.32
My cat curled up beside me on the couch today. I didn’t move for hours. I'm holding onto this softness for now.,0.22,-0.53,0.51
"I sat by the window today, watching the rain fall gently on the leaves. I needed that more than I thought.",0.48,-0.23,0.64
"I let myself nap in the afternoon sun. Just for a moment, everything felt right. A rare moment of clarity, maybe.",0.28,-0.21,-0.38
Took a walk alone at dusk and everything felt a little quieter than usual. I felt a sense of calm wash over me.,0.1,-0.53,-0.54
I smiled when I saw the old couple holding hands at the park. Everything was still and slow.,0.06,-0.02,1.02
"I made a home-cooked meal for the first time in months. It wasn’t perfect, but it felt good. It's hard to tell if this peace will last.",0.5,-0.34,-0.77
"I let myself nap in the afternoon sun. Just for a moment, everything felt right. A rare moment of clarity, maybe.",0.35,-0.19,-0.55
"I found a note I wrote to myself years ago. It made me laugh and cry. It wasn’t much, but it was something.",0.26,-0.06,0.63
My cat curled up beside me on the couch today. I didn’t move for hours. It made me feel grounded.,0.26,-0.08,-0.05
My cat curled up beside me on the couch today. I didn’t move for hours. Everything was still and slow.,0.05,-0.24,0.48
"I let myself nap in the afternoon sun. Just for a moment, everything felt right. Everything was still and slow.",0.58,-0.27,0.96
Took a walk alone at dusk and everything felt a little quieter than usual. It felt like a quiet kind of joy.,0.54,-0.53,0.78
I had a long talk with my best friend and it reminded me how lucky I am to have her. It made me feel grounded.,0.44,-0.5,-0.2
I smiled when I saw the old couple holding hands at the park. There's a heaviness I can't explain.,0.29,-0.23,-0.05
I smiled when I saw the old couple holding hands at the park. I'm holding onto this softness for now.,0.41,-0.56,0.35
"I sat by the window today, watching the rain fall gently on the leaves. It made me feel grounded.",0.47,-0.54,0.22
I found a note I wrote to myself years ago. It made me laugh and cry. I needed that more than I thought.,0.28,-0.18,-0.5
Took a walk alone at dusk and everything felt a little quieter than usual. I needed that more than I thought.,0.49,-0.08,-0.79
I found a note I wrote to myself years ago. It made me laugh and cry. There's a heaviness I can't explain.,0.07,-0.22,-0.39
"I made a home-cooked meal for the first time in months. It wasn’t perfect, but it felt good. I needed that more than I thought.",0.39,-0.36,-0.14
"I sat by the window today, watching the rain fall gently on the leaves. I needed that more than I thought.",0.46,-0.11,0.38
I finally finished the book I’ve been reading for weeks. It left me in tears. It's hard to tell if this peace will last.,0.6,-0.28,-0.63
Took a walk alone at dusk and everything felt a little quieter than usual. I felt a sense of calm wash over me.,0.17,-0.37,-0.04
I found a note I wrote to myself years ago. It made me laugh and cry. It's hard to tell if this peace will last.,0.12,-0.16,-0.83
My cat curled up beside me on the couch today. I didn’t move for hours. It made me feel grounded.,0.36,-0.4,0.38
"Had coffee with someone I thought I lost forever. We didn’t say much, but it meant everything. A rare moment of clarity, maybe.",0.19,-0.22,-0.68
I had a long talk with my best friend and it reminded me how lucky I am to have her. I needed that more than I thought.,0.21,-0.45,1.07
I found a note I wrote to myself years ago. It made me laugh and cry. It felt like a quiet kind of joy.,0.06,-0.4,-0.76
"Had coffee with someone I thought I lost forever. We didn’t say much, but it meant everything. It made me feel grounded.",0.18,-0.02,0.61
"I finally finished the book I’ve been reading for weeks. It left me in tears. A rare moment of clarity, maybe.",0.22,-0.04,0.69
"I made a home-cooked meal for the first time in months. It wasn’t perfect, but it felt good. I'm holding onto this softness for now.",0.57,-0.45,-0.83
"I sat by the window today, watching the rain fall gently on the leaves. I'm holding onto this softness for now.",0.42,-0.44,-0.19
Took a walk alone at dusk and everything felt a little quieter than usual. I felt a sense of calm wash over me.,0.5,-0.4,-0.4
"I sat by the window today, watching the rain fall gently on the leaves. It's hard to tell if this peace will last.",0.55,-0.33,-0.49
"Had coffee with someone I thought I lost forever. We didn’t say much, but it meant everything. It made me feel grounded.",0.13,-0.35,0.34
I smiled when I saw the old couple holding hands at the park. It's hard to tell if this peace will last.,0.58,-0.23,-0.43
My cat curled up beside me on the couch today. I didn’t move for hours. I needed that more than I thought.,0.26,-0.16,0.38
I finally finished the book I’ve been reading for weeks. It left me in tears. It's hard to tell if this peace will last.,0.3,-0.29,0.95
I found a note I wrote to myself years ago. It made me laugh and cry. There's a heaviness I can't explain.,0.09,-0.58,-0.66
I finally finished the book I’ve been reading for weeks. It left me in tears. I felt a sense of calm wash over me.,0.08,-0.39,-0.34
I smiled when I saw the old couple holding hands at the park. I'm holding onto this softness for now.,0.25,-0.11,-0.77
"Had coffee with someone I thought I lost forever. We didn’t say much, but it meant everything. It felt like a quiet kind of joy.",0.21,-0.14,0.03
I had a long talk with my best friend and it reminded me how lucky I am to have her. I felt a sense of calm wash over me.,0.59,-0.45,1.03
"I sat by the window today, watching the rain fall gently on the leaves. Everything was still and slow.",0.59,-0.27,0.4
"I sat by the window today, watching the rain fall gently on the leaves. I needed that more than I thought.",0.39,-0.44,-0.35
"Took a walk alone at dusk and everything felt a little quieter than usual. It wasn’t much, but it was something.",0.1,-0.33,0.37
My cat curled up beside me on the couch today. I didn’t move for hours. I needed that more than I thought.,0.54,-0.36,-0.84
My cat curled up beside me on the couch today. I didn’t move for hours. Everything was still and slow.,0.6,-0.54,0.51
"I made a home-cooked meal for the first time in months. It wasn’t perfect, but it felt good. I felt a sense of calm wash over me.",0.34,-0.06,0.3
My cat curled up beside me on the couch today. I didn’t move for hours. I needed that more than I thought.,0.32,-0.22,-0.67
"I made a home-cooked meal for the first time in months. It wasn’t perfect, but it felt good. I felt a sense of calm wash over me.",0.06,-0.52,-0.19
"I made a home-cooked meal for the first time in months. It wasn’t perfect, but it felt good. I needed that more than I thought.",0.41,-0.04,0.87
"I sat by the window today, watching the rain fall gently on the leaves. It felt like a quiet kind of joy.",0.13,-0.4,-0.58
I smiled when I saw the old couple holding hands at the park. I felt a sense of calm wash over me.,0.06,-0.43,0.97
I found a note I wrote to myself years ago. It made me laugh and cry. It felt like a quiet kind of joy.,0.29,-0.47,-0.43
"I finally finished the book I’ve been reading for weeks. It left me in tears. A rare moment of clarity, maybe.",0.29,-0.07,0.56
"Had coffee with someone I thought I lost forever. We didn’t say much, but it meant everything. I felt a sense of calm wash over me.",0.08,-0.52,-0.82
Took a walk alone at dusk and everything felt a little quieter than usual. I felt a sense of calm wash over me.,0.23,-0.26,-0.69
Took a walk alone at dusk and everything felt a little quieter than usual. It felt like a quiet kind of joy.,0.09,-0.47,-0.9
I had a long talk with my best friend and it reminded me how lucky I am to have her. I felt a sense of calm wash over me.,0.14,-0.55,-0.4
"I let myself nap in the afternoon sun. Just for a moment, everything felt right. Everything was still and slow.",0.33,-0.15,-0.28
